Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1058,Laveranues Coles\ColeLa00,2009,32,3-78,CIN,NFL,16,13,77,43,514,11.95,5,32.1,55.8%,6.68
1059,Vernon Davis\DaviVe00,2017,33,1-6,WAS,NFL,16,16,69,43,648,15.07,3,40.5,62.3%,9.39
1060,Malcom Floyd\FloyMa00,2011,30,,SDG,NFL,12,9,70,43,856,19.91,5,71.3,61.4%,12.23
1061,Brian Hartline\HartBr00,2010,24,4-108,MIA,NFL,12,11,73,43,615,14.30,1,51.3,58.9%,8.42
1062,Domenik Hixon\HixoDo00,2008,24,4-130,NYG,NFL,16,7,73,43,596,13.86,2,37.3,58.9%,8.16
1063,Jeremy Kerley\KerlJe00,2013,25,5-153,NYJ,NFL,12,8,72,43,523,12.16,3,43.6,59.7%,7.26
1064,Brandon Lloyd\LloyBr00,2004,23,4-124,SFO,NFL,13,13,89,43,565,13.14,6,43.5,48.3%,6.35
1065,Rishard Matthews\MattRi00,2015,26,7-227,MIA,NFL,11,11,61,43,662,15.40,4,60.2,70.5%,10.85
1066,Justin McCareins\McCaJu00,2005,27,4-124,NYJ,NFL,16,16,102,43,713,16.58,2,44.6,42.2%,6.99
1067,Jeremy McDaniel\McDaJe00,2000,24,,BUF,NFL,16,6,69,43,697,16.21,2,43.6,62.3%,10.10
1068,Jerome Pathon\PathJe00,2002,27,2-32,NOR,NFL,14,13,80,43,523,12.16,4,37.4,53.8%,6.54
1069,Ricky Proehl\ProeRi00,2002,34,3-58,STL,NFL,16,2,70,43,466,10.84,4,29.1,61.4%,6.66
1070,Antwaan Randle El\RandAn00,2004,25,2-62,PIT,NFL,16,7,63,43,601,13.98,3,37.6,68.3%,9.54
1071,Andre Roberts\RobeAn00,2013,25,3-88,ARI,NFL,16,2,76,43,471,10.95,2,29.4,56.6%,6.20
1072,Seth Roberts\RobeSe00,2017,26,,OAK,NFL,15,7,65,43,455,10.58,1,30.3,66.2%,7.00
1073,Mike Sims-Walker\WalkMi01,2010,26,3-79,JAX,NFL,14,13,80,43,562,13.07,7,40.1,53.8%,7.03
1074,Trent Taylor\TaylTr02,2017,23,5-177,SFO,NFL,15,1,60,43,430,10.00,2,28.7,71.7%,7.17
1075,David Terrell\TerrDa00,2003,24,1-8,CHI,NFL,16,7,84,43,361,8.40,1,22.6,51.2%,4.30
1076,Roddy White\WhitRo00,2015,34,1-27,ATL,NFL,16,16,70,43,506,11.77,1,31.6,61.4%,7.23
1077,Terrence Wilkins\WilkTe00,2000,25,,IND,NFL,14,7,67,43,569,13.23,3,40.6,64.2%,8.49
1078,Tyrell Williams\WillTy00,2017,25,,LAC,NFL,16,15,69,43,728,16.93,4,45.5,62.3%,10.55
1079,Robby Anderson\AndeRo04,2016,23,,NYJ,NFL,16,8,78,42,587,13.98,2,36.7,53.8%,7.53
1080,Davone Bess\BessDa00,2013,28,,CLE,NFL,14,3,86,42,362,8.62,2,25.9,48.8%,4.21
1081,Kenny Britt\BritKe00,2009,21,1-30,TEN,NFL,16,6,75,42,701,16.69,3,43.8,56.0%,9.35
1082,Kenny Britt\BritKe00,2010,22,1-30,TEN,NFL,12,7,73,42,775,18.45,9,64.6,57.5%,10.62
1083,Keelan Cole\ColeKe00,2017,24,,JAX,NFL,16,6,83,42,748,17.81,3,46.8,50.6%,9.01
1084,Chris Givens\GiveCh00,2012,23,4-96,STL,NFL,15,12,80,42,698,16.62,3,46.5,52.5%,8.73
1085,Roy Helu\HeluRo00,2014,26,4-105,WAS,NFL,14,0,47,42,477,11.36,2,34.1,89.4%,10.15
1086,Ashley Lelie\LeliAs00,2005,25,1-19,DEN,NFL,16,13,88,42,770,18.33,1,48.1,47.7%,8.75
1087,Mario Manningham\MannMa01,2012,26,3-95,SFO,NFL,12,10,57,42,449,10.69,1,37.4,73.7%,7.88
1088,Randy Moss*\MossRa00,2006,29,1-21,OAK,NFL,13,13,96,42,553,13.17,3,42.5,43.8%,5.76
1089,Santana Moss\MossSa00,2013,34,1-16,WAS,NFL,16,1,79,42,452,10.76,2,28.3,53.2%,5.72
1090,Dennis Northcutt\NortDe00,2005,28,2-32,CLE,NFL,16,7,77,42,441,10.50,2,27.6,54.5%,5.73
1091,Todd Pinkston\PinkTo00,2001,24,2-36,PHI,NFL,15,15,84,42,586,13.95,4,39.1,50.0%,6.98
1092,Cecil Shorts\ShorCe00,2015,28,4-114,HOU,NFL,11,4,75,42,484,11.52,2,44.0,56.0%,6.45
1093,Donte' Stallworth\StalDo00,2002,22,1-13,NOR,NFL,13,7,69,42,594,14.14,8,45.7,60.9%,8.61
1094,Kenny Stills\StilKe00,2016,24,5-144,MIA,NFL,16,16,81,42,726,17.29,9,45.4,51.9%,8.96
