Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G
77,Marshawn Lynch\LyncMa00,2012,26,1-12,SEA,NFL,16,15,315,1590,5.05,11,99.4
78,LaDainian Tomlinson*\TomlLa00,2007,28,1-5,SDG,NFL,16,16,315,1474,4.68,15,92.1
79,Corey Dillon\DillCo00,2002,28,2-43,CIN,NFL,16,16,314,1311,4.18,7,81.9
80,Thomas Jones\JoneTh00,2005,27,1-7,CHI,NFL,15,15,314,1335,4.25,9,89.0
81,Jamal Lewis\LewiJa00,2006,27,1-5,BAL,NFL,16,16,314,1132,3.61,9,70.8
82,LeSean McCoy\McCoLe01,2013,25,2-53,PHI,NFL,16,16,314,1607,5.12,9,100.4
83,Adrian Peterson\PeteAd01,2009,24,1-7,MIN,NFL,16,15,314,1383,4.40,18,86.4
84,Priest Holmes\HolmPr00,2002,29,,KAN,NFL,14,14,313,1615,5.16,21,115.4
85,Lamar Smith\SmitLa00,2001,31,3-73,MIA,NFL,16,16,313,968,3.09,6,60.5
86,LaDainian Tomlinson*\TomlLa00,2003,24,1-5,SDG,NFL,16,16,313,1645,5.26,13,102.8
87,Ricky Williams\WillRi00,2001,24,1-5,NOR,NFL,16,16,313,1245,3.98,6,77.8
88,Eddie George\GeorEd00,2003,30,1-14,TEN,NFL,16,16,312,1031,3.30,5,64.4
89,Frank Gore\GoreFr00,2006,23,3-65,SFO,NFL,16,16,312,1695,5.43,8,105.9
90,Ryan Grant\GranRy00,2008,26,,GNB,NFL,16,14,312,1203,3.86,4,75.2
91,Maurice Jones-Drew\DrewMa00,2009,24,2-60,JAX,NFL,16,16,312,1391,4.46,15,86.9
92,LeSean McCoy\McCoLe01,2014,26,2-53,PHI,NFL,16,16,312,1319,4.23,5,82.4
93,Edgerrin James\JameEd00,2003,25,1-4,IND,NFL,13,13,310,1259,4.06,11,96.8
94,Thomas Jones\JoneTh00,2007,29,1-7,NYJ,NFL,16,14,310,1119,3.61,1,69.9
95,Shaun Alexander\AlexSh00,2001,24,1-19,SEA,NFL,16,12,309,1318,4.27,14,82.4
96,Reuben Droughns\DrouRe00,2005,27,3-81,CLE,NFL,16,16,309,1232,3.99,2,77.0
97,Jamal Lewis\LewiJa00,2000,21,1-5,BAL,NFL,16,13,309,1364,4.41,6,85.3
98,Lamar Smith\SmitLa00,2000,30,3-73,MIA,NFL,15,15,309,1139,3.69,14,75.9
99,Jamal Lewis\LewiJa00,2002,23,1-5,BAL,NFL,16,15,308,1327,4.31,6,82.9
100,Ray Rice\RiceRa00,2010,23,2-55,BAL,NFL,16,14,307,1220,3.97,5,76.3
101,Tiki Barber\BarbTi00,2002,27,2-36,NYG,NFL,16,15,304,1387,4.56,11,86.7
102,Ahman Green\GreeAh00,2001,24,3-76,GNB,NFL,16,16,304,1387,4.56,9,86.7
103,Chester Taylor\TaylCh01,2006,27,6-207,MIN,NFL,15,15,303,1216,4.01,6,81.1
104,LenDale White\WhitLe01,2007,23,2-45,TEN,NFL,16,16,303,1110,3.66,7,69.4
105,Domanick Williams\DaviDo01,2004,24,4-101,HOU,NFL,15,15,302,1188,3.93,13,79.2
106,Cedric Benson\BensCe00,2009,27,1-4,CIN,NFL,13,13,301,1251,4.16,6,96.2
