Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,name,key,Round,Pick,ageGroup
131,LeSean McCoy\McCoLe01,2017,29,2-53,BUF,NFL,16,16,287,1138,3.97,6,71.1,LeSean McCoy,LeSeanMcCoy29BUF2017,2,130,29-32
132,Antowain Smith\SmitAn00,2001,29,1-23,NWE,NFL,16,15,287,1157,4.03,12,72.3,Antowain Smith,AntowainSmith29NWE2001,1,90,29-32
133,Fred Taylor\TaylFr00,2002,26,1-9,JAX,NFL,16,16,287,1314,4.58,8,82.1,Fred Taylor,FredTaylor26JAX2002,1,162,25-28
134,Warrick Dunn\DunnWa00,2006,31,1-12,ATL,NFL,16,16,286,1140,3.99,4,71.3,Warrick Dunn,WarrickDunn31ATL2006,1,22,29-32
135,Ahman Green\GreeAh00,2002,25,3-76,GNB,NFL,14,14,286,1240,4.34,7,88.6,Ahman Green,AhmanGreen25GNB2002,3,150,25-28
136,Jamaal Charles\CharJa00,2012,26,3-73,KAN,NFL,16,15,285,1509,5.29,5,94.3,Jamaal Charles,JamaalCharles26KAN2012,3,147,25-28
137,Marshawn Lynch\LyncMa00,2011,25,1-12,SEA,NFL,15,15,285,1204,4.22,12,80.3,Marshawn Lynch,MarshawnLynch25SEA2011,1,22,25-28
138,Ryan Mathews\MathRy00,2013,26,1-12,SDG,NFL,16,14,285,1255,4.4,6,78.4,Ryan Mathews,RyanMathews26SDG2013,1,22,25-28
139,Melvin Gordon\GordMe00,2017,24,1-15,LAC,NFL,16,16,284,1105,3.89,8,69.1,Melvin Gordon,MelvinGordon24LAC2017,1,45,< 24
140,Eddie Lacy\LacyEd00,2013,23,2-61,GNB,NFL,15,15,284,1178,4.15,11,78.5,Eddie Lacy,EddieLacy23GNB2013,2,138,< 24
141,Willis McGahee\McGaWi00,2004,23,1-23,BUF,NFL,16,11,284,1128,3.97,13,70.5,Willis McGahee,WillisMcGahee23BUF2004,1,90,< 24
142,Adrian Peterson\PeteAd01,2010,25,1-7,MIN,NFL,15,15,283,1298,4.59,12,86.5,Adrian Peterson,AdrianPeterson25MIN2010,1,145,25-28
143,Jamal Anderson\AndeJa00,2000,28,7-201,ATL,NFL,16,16,282,1024,3.63,6,64,Jamal Anderson,JamalAnderson28ATL2000,7,80,25-28
144,Frank Gore\GoreFr00,2011,28,3-65,SFO,NFL,16,15,282,1211,4.29,8,75.7,Frank Gore,FrankGore28SFO2011,3,142,25-28
145,Ryan Grant\GranRy00,2009,27,NA,GNB,NFL,16,16,282,1253,4.44,11,78.3,Ryan Grant,RyanGrant27GNB2009,Undrafted,Undrafted,25-28
146,Warrick Dunn\DunnWa00,2005,30,1-12,ATL,NFL,16,16,280,1416,5.06,3,88.5,Warrick Dunn,WarrickDunn30ATL2005,1,22,29-32
147,Marshawn Lynch\LyncMa00,2014,28,1-12,SEA,NFL,16,14,280,1306,4.66,13,81.6,Marshawn Lynch,MarshawnLynch28SEA2014,1,22,25-28
148,Marshawn Lynch\LyncMa00,2007,21,1-12,BUF,NFL,13,13,280,1115,3.98,7,85.8,Marshawn Lynch,MarshawnLynch21BUF2007,1,22,< 24
149,Todd Gurley\GurlTo01,2017,23,1-10,LAR,NFL,15,15,279,1305,4.68,13,87,Todd Gurley,ToddGurley23LAR2017,1,2,< 24
150,Chris Johnson\JohnCh04,2013,28,1-24,TEN,NFL,16,16,279,1077,3.86,6,67.3,Chris Johnson,ChrisJohnson28TEN2013,1,96,25-28
151,Jamal Lewis\LewiJa00,2008,29,1-5,CLE,NFL,16,16,279,1002,3.59,4,62.6,Jamal Lewis,JamalLewis29CLE2008,1,127,29-32
152,Adrian Peterson\PeteAd01,2013,28,1-7,MIN,NFL,14,14,279,1266,4.54,10,90.4,Adrian Peterson,AdrianPeterson28MIN2013,1,145,25-28
153,Tiki Barber\BarbTi00,2003,28,2-36,NYG,NFL,16,16,278,1216,4.37,2,76,Tiki Barber,TikiBarber28NYG2003,2,114,25-28
154,Arian Foster\FostAr00,2011,25,NA,HOU,NFL,13,13,278,1224,4.4,10,94.2,Arian Foster,ArianFoster25HOU2011,Undrafted,Undrafted,25-28
155,BenJarvus Green-Ellis\GreeBe00,2012,27,NA,CIN,NFL,15,15,278,1094,3.94,6,72.9,BenJarvus Green-Ellis,BenJarvusGreen-Ellis27CIN2012,Undrafted,Undrafted,25-28
156,Todd Gurley\GurlTo01,2016,22,1-10,LAR,NFL,16,16,278,885,3.18,6,55.3,Todd Gurley,ToddGurley22LAR2016,1,2,< 24
157,Anthony Thomas\ThomAn01,2001,24,2-38,CHI,NFL,14,10,278,1183,4.26,7,84.5,Anthony Thomas,AnthonyThomas24CHI2001,2,116,< 24
158,Ricky Watters\WattRi00,2000,31,2-45,SEA,NFL,16,16,278,1242,4.47,7,77.6,Ricky Watters,RickyWatters31SEA2000,2,123,29-32
159,Brian Westbrook\WestBr00,2007,28,3-91,PHI,NFL,15,15,278,1333,4.79,7,88.9,Brian Westbrook,BrianWestbrook28PHI2007,3,163,25-28
160,Edgerrin James\JameEd00,2002,24,1-4,IND,NFL,14,14,277,989,3.57,2,70.6,Edgerrin James,EdgerrinJames24IND2002,1,118,< 24
161,Ahmad Bradshaw\BradAh00,2010,24,7-250,NYG,NFL,16,11,276,1235,4.47,8,77.2,Ahmad Bradshaw,AhmadBradshaw24NYG2010,7,102,< 24
